271	272	924
271	273	1282
271	274	31
271	505	6
271	506	4
271	507	2
271	508	11
271	509	2
271	510	30
271	511	10
271	512	253
271	513	184
271	514	111
272	273	535
272	274	11
272	505	6
272	506	2
272	507	2
272	508	13
272	509	1
272	510	17
272	511	17
272	512	289
272	513	342
272	514	412
273	274	8
273	505	4
273	506	3
273	507	1
273	508	8
273	509	1
273	510	14
273	511	4
273	512	127
273	513	50
273	514	17
274	512	1
274	513	1
274	514	1
505	506	356
505	507	998
505	508	166
505	509	400
505	510	82
505	511	220
505	512	149
505	513	84
505	514	61
505	641	95
506	507	226
506	508	67
506	509	210
506	510	78
506	511	37
506	512	140
506	513	25
506	514	12
506	641	110
507	508	52
507	509	678
507	510	106
507	511	72
507	512	81
507	513	17
507	514	11
507	641	148
508	509	74
508	510	74
508	511	48
508	512	294
508	513	184
508	514	47
508	641	13
509	510	112
509	511	123
509	512	134
509	513	83
509	514	9
509	641	24
510	511	96
510	512	237
510	513	104
510	514	245
510	641	599
511	512	61
511	513	14
511	514	9
511	641	8
512	513	742
512	514	418
512	641	142
513	514	538
513	641	17
514	641	5
