id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight
1	soil working in agriculture or forestry	0.6768	-0.2185	7	113	2446	634
115	foundry moulding	0.5434	-0.5566	3	89	781	636
136	manipulators	0.4083	-0.2946	7	125	3833	641
143	dovetailed work	-1.0357	1.0566	2	56	6077	564
149	working of wood not provided for in subclasses b27b - b27l	-1.0821	0.9718	2	57	6103	606
189	vehicle wheels	0.6565	0.0417	4	129	3699	619
190	vehicle tyres	1.1086	0.4918	9	117	4084	639
191	vehicle connections	0.8276	0.375	9	116	3176	602
192	vehicles for use both on rail and on road	0.1717	-0.6876	3	96	1781	459
193	vehicle suspension arrangements	0.8142	0.0578	4	125	4894	632
195	"windows, windscreens, non-fixed roofs, doors, or similar devices for vehicles"	0.4599	0.6965	8	127	3350	644
196	arrangement or mounting of propulsion units or of transmissions in vehicles	1.1289	0.068	4	126	10160	643
197	electric equipment or propulsion of electrically-propelled vehicles	0.7707	-0.4418	4	120	7691	631
198	"power supply lines, and devices along rails, for electrically-"	0.3366	-0.5807	3	103	1008	538
199	vehicle passenger accommodation not otherwise provided for	0.6233	0.6045	1	127	5409	642
2	planting	0.6304	-0.2596	7	98	1565	636
200	"vehicles adapted for load transportation or to transport,"	0.289	0.0551	3	130	3440	638
201	vehicle lighting or signalling	1.107	0.6121	9	115	7137	631
202	"vehicles, vehicle fittings, or vehicle parts, not otherwise provided for"	0.8157	0.5507	9	131	8619	648
203	"servicing, cleaning, repairing, supporting, lifting, or manoeuvring of vehicl"	1.0144	0.4023	9	119	5088	634
204	vehicle brake control systems or parts thereof	0.9788	-0.0914	4	118	5984	632
205	air-cushion vehicles	-0.2023	-0.6321	5	87	1024	488
206	conjoint control of vehicle sub-units of different type or different function	1.2046	-0.0652	4	109	8326	623
207	indexing scheme relating to aspects cross-cutting vehicle technology	1.017	-0.2678	4	115	6277	618
208	railway systems	0.2623	-0.5734	3	116	2417	584
209	locomotives	0.5082	-0.8214	3	103	3094	569
210	body details or kinds of railway vehicles	0.4838	-0.5024	3	120	3293	622
211	"rail vehicle suspensions, e.g. underframes, bogies or arrangements of wheel a"	0.6357	-0.701	3	75	1939	559
212	couplings	0.5723	-0.6371	3	71	981	521
213	brakes or other retarding apparatus peculiar to rail vehicles	0.6514	-0.5571	3	86	1123	475
214	shifting or shunting of rail vehicles	0.3224	-0.7013	3	80	1068	352
215	other auxiliary equipment for railways	0.2537	-0.7029	3	103	1563	561
216	guiding railway traffic	0.4116	-0.7665	3	102	2544	581
217	"hand-propelled vehicles, e.g. hand carts, perambulators"	0.2807	0.4151	1	123	2913	627
218	vehicles drawn by animals	0.3611	0.7348	1	46	253	204
219	motor vehicles	0.5938	0.1332	4	134	7007	643
220	cycle stands	0.4296	0.4821	4	110	1518	552
221	cycle saddles or seats	0.5473	0.4235	4	124	2819	622
222	cycles	0.7211	0.2884	4	118	4526	628
223	brakes specially adapted for cycles	0.9183	0.1931	4	72	1177	515
224	rider propulsion of wheeled vehicles or sledges	1.0283	0.0681	4	84	3754	600
225	ships or other waterborne vessels	-0.2031	-0.4028	5	134	4630	648
226	"launching, hauling-out, or dry-docking of vessels"	-0.1963	-0.2843	5	127	2246	636
227	offensive or defensive arrangements on vessels	-0.5293	-0.5374	5	116	2470	612
228	marine propulsion or steering	-0.1037	-0.6857	5	118	2397	629
229	auxiliaries on vessels	-0.1261	-0.6058	5	113	2115	590
230	lighter-than air aircraft	-0.3675	-0.5819	5	87	958	574
231	aeroplanes	-0.261	-0.5033	5	129	3540	642
232	equipment for fitting in or to aircraft	-0.305	-0.2782	5	132	3440	643
233	ground or aircraft-carrier-deck installations specially adapted for use in co	-0.1435	-0.3426	5	133	2288	635
234	cosmonautics	-0.5079	-0.1841	5	128	1384	636
238	gathering or removal of domestic or like refuse	0.153	0.0786	1	120	1408	627
239	"transport or storage devices, e.g. conveyors for loading or tipping"	0.2484	-0.2281	3	130	1960	646
241	elevators	0.1511	-0.0927	3	115	1059	615
242	cranes	0.118	-0.2252	3	130	2899	631
243	capstans	0.0905	-0.1287	3	119	1730	587
244	"hoisting, lifting, hauling or pushing, not otherwise provided for,"	0.2499	-0.066	3	129	3247	627
248	harness	0.3209	0.7414	1	50	453	439
249	b68c	0.2903	0.7226	1	61	429	453
251	"methods, equipment, or machines for use in upholstering"	0.2534	0.8208	1	73	1103	559
271	explosives or thermic compositions	-1.7607	-0.3419	6	45	2980	607
272	detonating or priming devices	-1.6562	-0.3196	6	28	2649	537
273	means for generating smoke or mist	-1.7117	-0.381	6	39	2270	566
274	matches	-1.8615	-0.3487	6	7	54	91
