id	label	x	y	cluster	weight<Links>	weight<Total link strength>
87	"mixing, e.g. dissolving, emulsifying, dispersing"	0.6156	-0.0008	5	647	18949.7278
88	"chemical or physical processes, e.g. catalysis, colloid chemistry"	0.8129	0.1899	3	649	27071.1596
89	chemical or physical laboratory apparatus for general use	0.5822	0.1291	5	646	15674.7406
90	preparing grain for milling	0.8369	-0.3395	5	466	1583.1068
91	"crushing, pulverising, or disintegrating in general"	0.4792	-0.1934	5	632	5573.8614
92	separating solid materials using liquids or using pneumatic	0.7451	0.0905	5	613	6678.9552
93	magnetic or electrostatic separation of solid materials from solid materials	0.4484	0.3297	3	640	7354.2862
94	flotation	0.8299	0.0858	5	584	3597.7556
95	centrifuges	0.5818	0.2538	5	612	2535.1404
96	"apparatus using free vortex flow, e.g. cyclones"	0.5449	0.2454	5	587	2729.0782
97	spraying apparatus	0.2921	-0.0884	2	651	13153.7248
98	apparatus for applying liquids or other fluent materials to	0.3499	-0.562	2	643	15659.997
99	processes for applying liquids or other fluent materials to	0.3454	-0.396	2	644	17208.4494
100	methods or apparatus for generating or transmitting mechanical vibrations of	-0.327	0.0805	4	628	5202.504
101	"seperating solids from solids by sieving, screening, or sifting or by using g"	0.5544	-0.0669	5	627	3303.9544
102	postal sorting	-0.0137	-0.1888	5	632	5293.3248
103	cleaning in general	0.3324	-0.0429	6	647	10949.4742
104	disposal of solid waste	0.6585	0.2003	5	631	8757.478
105	reclamation of contaminated soil	0.7056	0.4744	6	613	11291.5044
106	rolling of metal	0.1829	-0.011	6	630	3237.4132
107	"manufacture of metal sheets, wire, rods, tubes or profiles, otherwise than by"	0.1211	0.0262	6	637	6371.3346
108	"working or processing of sheet metal or metal tubes, rods or profiles without"	0.0458	0.0186	6	641	6410.292
109	working or processing of metal wire	0.1057	-0.3192	6	609	5151.1458
110	"making needles, pins or nails of metal"	0.0762	-0.2129	6	508	1505.2898
111	"making particular metal objects by rolling, e.g. screws, wheels,"	0.0223	-0.0244	6	557	2384.6406
112	forging	0.0083	0.0098	6	616	4576.477
113	"making forged or pressed metal products, e.g. horse-shoes, rivets,"	0.0189	0.1081	6	608	5377.481
114	making metal chains	-0.2804	-0.3587	2	499	1344.0292
115	foundry moulding	0.009	0.3398	1	636	5086.9618
116	casting of metals	0.317	0.3645	6	640	6970.4812
117	working metallic powder	0.4373	0.1805	6	642	13600.8394
118	turning	-0.0786	-0.1528	6	636	5726.1984
119	milling	-0.0617	-0.1936	6	602	2804.2778
120	planing	-0.3266	-0.6947	6	635	10144.3834
121	making gears or toothed racks	-0.0282	-0.0635	6	491	976.8214
122	thread cutting	-0.1168	-0.1657	6	525	1874.5488
123	working of metal by the action of a high concentration of electric current on	0.5181	-0.121	6	620	4776.9202
124	soldering or unsoldering	0.1086	-0.0838	6	649	12519.1856
125	other working of metal	0.0145	0.1563	6	645	13391.0232
126	"details, components, or accessories for machine tools, e.g."	-0.1756	-0.3166	6	646	10261.9826
127	"machines, devices, or processes for grinding or polishing"	0.3551	-0.1458	6	641	6357.6964
128	abrasive or related blasting with particulate material	0.3092	0.0034	6	628	3217.8806
129	"tools for grinding, buffing, or sharpening"	0.402	-0.1203	6	629	7208.566
130	"tools or bench devices not otherwise provided for, for fastening, connecting,"	-0.2454	-0.1446	6	638	6277.2216
131	hand-held nailing or stapling tools	-0.2817	-0.1727	6	604	2608.825
132	percussive tools	-0.185	-0.0731	6	592	2982.7608
133	combination or multi-purpose tools not otherwise provided for	-0.2608	-0.226	6	615	6527.1692
134	handles for hand implements	-0.2902	-0.2218	6	608	4076.8372
135	"workshop equipment, e.g. for marking-out work"	-0.3671	-0.2601	6	625	5509.8204
136	manipulators	-0.2934	0.0406	1	641	10563.5352
137	hand-held cutting tools not otherwise provided for	-0.0769	-0.3332	6	621	2274.43
138	cutting	-0.0931	-0.6368	6	639	10972.1908
139	perforating	0.0151	-0.6313	2	635	8753.659
140	saws for wood or similar material	-0.3686	-0.7608	6	616	9411.4856
141	"planing, drilling, milling, turning or universal machines for"	-0.2544	-0.5707	6	562	4121.198
142	working veneer or plywood	0.2578	-0.5791	5	546	2673.947
143	dovetailed work	-0.06	-0.82	1	564	8025.0432
144	accessory machines or apparatus	-0.4024	-0.8212	6	598	9060.5582
145	bending wood or similar material	0.5658	-0.5315	5	395	1866.9692
146	"mechanical working of cane, cork, or similar materials"	0.292	-0.5719	5	364	994.6984
147	"processes, apparatus or selection of substances for impregnating, staining, d"	0.6232	-0.422	5	586	2247.4348
148	removing bark or vestiges of branches	0.2377	-0.4356	5	570	1487.6056
149	working of wood not provided for in subclasses b27b - b27l	0.0528	-0.7974	1	606	8170.7332
150	"manufacture by dry processes of articles, with or without organic binding age"	0.5017	-0.7324	5	617	11134.9186
151	"shaping clay or other ceramic compositions, slag, or mixtures containing ceme"	0.4385	-0.3332	8	642	15632.6004
152	preparing clay	0.4201	-0.6945	8	618	12375.2904
153	working stone or stone-like materials	0.1973	-0.0751	6	618	5116.126
154	preparation or pretreatment of the material to be shaped	0.4574	-0.5125	2	643	15776.0064
155	shaping or joining of plastics	0.0651	-0.5306	2	650	33842.7518
156	producing particular articles from plastics or from substances	-0.1391	-0.4674	2	646	12155.1994
157	"indexing scheme associated with subclasses b29b, b29c or b29d, relating to mo"	0.2509	-0.5081	2	648	28383.2026
158	"indexing scheme associated with subclass b29c, relating to particular article"	0.1024	-0.4993	2	648	27848.012
159	presses in general	0.4179	-0.2217	5	643	5357.952
160	"making boxes, cartons, envelopes or bags of paper or cardboard"	0.0828	-1.1385	8	632	17849.8638
161	"making wound articles, e.g. wound tubes, of paper or cardboard"	0.1707	-0.5304	2	502	1113.0704
162	making articles of paper or cardboard not provided for in	0.1851	-0.8929	8	627	13613.7356
163	mechanical working or deformation of paper or cardboard	0.0941	-1.2213	8	630	17295.9968
164	"layered products, i.e. products built-up of strata of flat or non- flat, e.g."	0.155	-0.48	2	649	36159.3816
165	"additive manufacturing, i.e. manufacturing of three-dimensional [3-d] objects"	0.1032	-0.2664	6	556	4539.4672
166	"machines or accessories for making, setting, or distributing type"	-0.5064	-0.6113	2	442	686.8744
167	processes for the manufacture or reproduction of printing	-0.1381	-0.8694	2	604	4002.3742
168	apparatus for the mechanical reproduction of printing surfaces for stereotype	-0.3425	-0.8424	2	308	918.0982
169	printing machines or presses	-0.1357	-0.8328	2	639	6300.1698
170	"apparatus for bronze printing, line printing, or for bordering or edging shee"	-0.1935	-0.8696	2	321	1112.7322
171	typewriters	-0.6497	-0.69	2	645	11342.7556
172	stamps	-0.3358	-0.8162	2	558	1744.1886
173	"apparatus or devices for manifolding, duplicating, or printing for office or"	-0.2887	-0.8583	2	529	1608.242
174	"printing, duplicating, marking, or copying processes"	0.0472	-0.8835	2	640	13951.972
175	printing plates or foils	-0.0067	-0.8665	2	612	5066.99
176	"indexing scheme relating to printing, lining machines, typewriters, and to st"	-0.1107	-0.8691	2	623	4499.8826
177	"permanently attaching together sheets, quires or signatures"	-0.4806	-0.7805	2	482	1282.6524
178	bookbinding	-0.7949	-0.8451	2	595	9231.4138
179	books	-0.8597	-0.5922	4	632	14562.3904
180	sheets temporarily attached together	-0.5639	-0.6458	2	606	2379.4322
181	"indexing scheme relating to books, filing appliances or the like"	-0.8675	-0.825	2	555	9188.6596
182	implements for writing or drawing	-0.7444	-0.7629	2	613	8252.9948
183	articles for writing or drawing upon	-0.5058	-0.5678	2	614	3613.7766
184	bureau accessories not otherwise provided for	0.2144	-0.9493	2	612	6507.904
185	"machines, apparatus or tools for artistic work, e.g. for sculpturing, guilloc"	-0.1447	-0.5897	2	592	4354.0248
186	producing decorative effects	-0.0564	-1.1544	8	638	20545.1138
187	"painting or artistic drawing, not otherwise provided for"	0.0125	-0.5663	2	631	3873.2274
188	special designs or pictures	-0.1219	-1.2643	8	625	18478.0406
189	vehicle wheels	-0.4522	0.3064	1	619	5234.5678
190	vehicle tyres	-0.6439	0.0962	1	639	10774.0954
191	vehicle connections	-0.7596	0.3019	1	602	5066.556
192	vehicles for use both on rail and on road	-0.449	0.5542	1	459	1974.0958
193	vehicle suspension arrangements	-0.6141	0.5052	1	632	6779.892
194	"arrangements or adaptations of heating, cooling, ventilating, or other air-tr"	-0.2872	0.7494	3	639	9508.9604
195	"windows, windscreens, non-fixed roofs, doors, or similar devices for vehicles"	-0.6139	0.0314	1	644	5582.9542
196	arrangement or mounting of propulsion units or of transmissions in vehicles	-0.6251	0.7335	1	643	19149.4486
197	electric equipment or propulsion of electrically-propelled vehicles	-0.5303	0.7355	1	631	16336.6536
198	"power supply lines, and devices along rails, for electrically-"	-0.4439	0.4397	1	538	1977.8622
199	vehicle passenger accommodation not otherwise provided for	-0.7117	0.0881	1	642	9345.2934
200	"vehicles adapted for load transportation or to transport,"	-0.374	0.2026	1	638	4623.2718
201	vehicle lighting or signalling	-1.0321	0.4027	1	631	15548.8262
202	"vehicles, vehicle fittings, or vehicle parts, not otherwise provided for"	-0.8748	0.3197	1	648	17403.3622
203	"servicing, cleaning, repairing, supporting, lifting, or manoeuvring of vehicl"	-0.7426	0.399	1	634	10440.4728
204	vehicle brake control systems or parts thereof	-0.6952	0.6053	1	632	9501.455
205	air-cushion vehicles	-0.3515	0.5598	1	488	1369.5608
206	conjoint control of vehicle sub-units of different type or different function	-0.7185	0.7737	1	623	15543.3162
207	indexing scheme relating to aspects cross-cutting vehicle technology	-0.4347	0.811	1	618	10833.6894
208	railway systems	-0.4784	0.4258	1	584	2949.984
209	locomotives	-0.5251	0.6494	1	569	4799.5432
210	body details or kinds of railway vehicles	-0.4564	0.4722	1	622	4114.6036
211	"rail vehicle suspensions, e.g. underframes, bogies or arrangements of wheel a"	-0.4829	0.5456	1	559	2148.284
212	couplings	-0.4112	0.4956	1	521	1246.4152
213	brakes or other retarding apparatus peculiar to rail vehicles	-0.535	0.5242	1	475	1326.574
214	shifting or shunting of rail vehicles	-0.491	0.4962	1	352	1216.6182
215	other auxiliary equipment for railways	-0.5283	0.4808	1	561	2462.5802
216	guiding railway traffic	-0.6206	0.5489	1	581	4319.757
217	"hand-propelled vehicles, e.g. hand carts, perambulators"	-0.5177	-0.0035	1	627	4351.2018
218	vehicles drawn by animals	-0.5106	-0.1221	1	204	275.1104
219	motor vehicles	-0.5219	0.3747	1	643	10416.362
220	cycle stands	-0.6689	0.1635	1	552	2048.9182
221	cycle saddles or seats	-0.6428	0.2197	1	622	4156.9562
222	cycles	-0.6576	0.3612	1	628	5545.9146
223	brakes specially adapted for cycles	-0.672	0.4419	1	515	1423.1344
224	rider propulsion of wheeled vehicles or sledges	-0.632	0.6412	1	600	4781.7678
225	ships or other waterborne vessels	-0.2163	0.3894	1	648	7896.5976
226	"launching, hauling-out, or dry-docking of vessels"	-0.321	0.2632	1	636	4190.5332
227	offensive or defensive arrangements on vessels	-0.194	0.5093	1	612	4032.3794
228	marine propulsion or steering	-0.2284	0.6189	1	629	4207.9728
229	auxiliaries on vessels	-0.1402	0.6388	1	590	4562.2014
230	lighter-than air aircraft	-0.2382	0.5014	1	574	1669.7278
231	aeroplanes	-0.284	0.5169	1	642	7561.3572
232	equipment for fitting in or to aircraft	-0.2497	0.5413	1	643	8197.8186
233	ground or aircraft-carrier-deck installations specially adapted for use in co	-0.2727	0.3478	1	635	4711.3378
234	cosmonautics	-0.1316	0.4902	1	636	4018.8688
235	"machines, apparatus or devices for, or methods of, packaging"	0.0586	-1.0182	8	647	19095.79
236	"labelling or tagging machines, apparatus, or processes"	-0.1828	-0.674	2	622	3362.015
237	"containers for storage or transport of articles or materials,"	0.1165	-0.8217	8	652	22543.8816
238	gathering or removal of domestic or like refuse	-0.1552	0.0117	1	627	3745.7928
239	"transport or storage devices, e.g. conveyors for loading or tipping"	0.0796	-0.033	1	646	7771.4542
