284	285	349
284	286	107
284	288	88
284	289	292
284	290	232
284	292	36
284	293	48
284	297	77
284	596	10
285	286	424
285	288	660
285	289	418
285	290	924
285	292	65
285	293	389
285	297	494
285	596	92
286	288	754
286	289	800
286	290	1044
286	292	77
286	293	777
286	297	455
286	596	181
288	289	847
288	290	1045
288	292	103
288	293	491
288	297	351
288	596	167
289	290	1128
289	292	537
289	293	683
289	297	348
289	596	250
290	292	167
290	293	692
290	297	627
290	596	185
292	293	578
292	297	60
292	596	80
293	297	312
293	596	116
297	596	89
