id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight
101	"seperating solids from solids by sieving, screening, or sifting or by using g"	-0.3279	-0.5706	1	75	1399	627
102	postal sorting	-0.3072	-0.328	1	72	1409	632
104	disposal of solid waste	-0.1661	-0.2227	1	90	2767	631
11	preservation of bodies of humans or animals or plants or parts thereof	0.1716	0.0354	5	95	5319	643
12	bakers ovens	-0.6117	0.6397	2	64	1576	617
13	machines or equipment for making or processing doughs	-0.5019	0.6951	2	72	2844	628
14	"treatment, e.g. preservation, of flour or dough, e.g. by addition of material"	-0.1399	0.6983	2	86	7707	607
142	working veneer or plywood	-0.6996	-0.3462	1	41	847	546
145	bending wood or similar material	-0.7232	-0.1963	1	33	1217	395
146	"mechanical working of cane, cork, or similar materials"	-0.685	-0.4294	1	34	476	364
147	"processes, apparatus or selection of substances for impregnating, staining, d"	-0.4389	-0.2858	1	74	972	586
148	removing bark or vestiges of branches	-0.6288	-0.4563	1	42	608	570
15	slaughtering	-0.1273	0.4544	5	62	1368	606
150	"manufacture by dry processes of articles, with or without organic binding age"	-0.5823	-0.3504	1	75	2307	617
159	presses in general	-0.446	-0.0759	1	93	1620	643
16	"processing meat, poultry, or fish"	-0.221	0.4452	5	80	1809	635
17	"preserving, e.g. by canning, meat, fish, eggs, fruit, vegetables, edible seed"	-0.2086	0.3498	5	91	3860	621
18	"dairy products, e.g. milk, butter, cheese"	0.0264	0.729	2	86	6606	595
19	"edible oils of fats, e.g. margarines, shortenings, cooking oils"	0.4405	0.9317	6	80	8484	568
20	coffee	-0.5392	0.4782	2	79	2151	573
21	cocoa	-0.3326	0.5414	2	87	6382	635
22	protein compositions for foodstuffs	0.1072	0.4759	4	85	5253	561
23	fodder	0.304	0.5825	6	89	8518	608
24	"foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses a23b"	-0.0376	0.6219	2	95	13750	643
245	"applying closure members to bottles jars, or similar containers"	-0.7246	0.1749	2	55	613	603
246	"cleaning, filling with liquids or semiliquids, or emptying, of bottles, jars,"	-0.7525	0.2104	2	61	639	600
247	"dispensing, delivering or transferring liquids, not otherwise"	-0.8241	0.4402	2	70	2567	640
25	"machines or apparatus for treating harvested fruit, vegetables or flower bulb"	-0.4206	0.1067	1	78	1300	607
254	"nano-structures formed by manipulation of individual atoms, molecules, or lim"	1.2033	-0.7548	3	52	2042	520
26	"shaping or working of foodstuffs, not fully covered by a single"	-0.362	0.6399	2	91	5798	614
262	"treatment of water, waste water, sewage, or sludge"	0.068	-0.0833	1	93	4371	649
266	phosphatic fertilisers	1.1258	0.4898	7	69	5991	493
267	nitrogenous fertilisers	1.1905	0.3955	7	71	6072	528
268	"inorganic fertilisers not covered by subclasses c05b, c05c"	1.0042	0.4459	7	68	6910	553
269	"organic fertilisers not covered by subclasses c05b, c05c, e.g."	0.7681	0.2516	7	86	7040	605
27	"indexing scheme relating to foods, foodstuffs or non-alcoholic beverages"	-0.2089	0.6145	2	91	8760	620
270	mixtures of fertilisers covered individually by different subclasses of class	1.0235	0.3305	7	81	6817	588
275	general methods of organic chemistry	1.1807	-0.5851	3	70	7611	598
276	acyclic or carbocyclic compounds	0.668	-0.2661	3	87	4755	646
277	heterocyclic compounds	0.9011	-0.2807	3	76	5056	643
