256	257	265
256	258	151
256	259	271
256	260	367
256	261	440
256	303	15
256	313	574
256	328	63
256	329	19
256	331	118
256	338	231
256	339	29
256	497	38
256	498	25
256	499	11
256	604	497
256	648	530
256	649	600
256	76	74
256	86	444
256	88	797
257	258	112
257	259	61
257	260	73
257	261	52
257	313	49
257	328	8
257	329	3
257	331	51
257	338	58
257	339	10
257	497	5
257	498	5
257	499	1
257	604	49
257	648	69
257	649	99
257	76	20
257	86	160
257	88	148
258	259	423
258	260	188
258	261	136
258	303	9
258	313	5
258	328	29
258	329	5
258	331	235
258	338	197
258	339	48
258	497	9
258	498	5
258	499	4
258	604	46
258	648	58
258	649	112
258	76	42
258	86	94
258	88	40
259	260	476
259	261	568
259	303	19
259	313	5
259	328	42
259	329	8
259	331	243
259	338	151
259	339	34
259	497	32
259	498	13
259	499	5
259	604	32
259	648	61
259	649	162
259	76	59
259	86	129
259	88	173
260	261	1136
260	313	2
260	328	34
260	329	5
260	331	408
260	338	61
260	339	60
260	497	15
260	498	10
260	499	4
260	604	332
260	648	272
260	649	249
260	76	44
260	86	99
260	88	282
261	303	1
261	313	3
261	328	18
261	329	4
261	331	102
261	338	81
261	339	20
261	497	17
261	498	11
261	499	4
261	604	224
261	648	212
261	649	177
261	76	26
261	86	85
261	88	266
303	313	4
303	328	2
303	331	1
303	338	2
303	498	1
303	604	7
303	648	8
303	649	3
303	76	2
303	86	2
303	88	7
313	328	5
313	331	4
313	338	19
313	339	1
313	497	1
313	498	1
313	604	336
313	648	294
313	649	213
313	76	3
313	86	192
313	88	218
328	329	733
328	331	423
328	338	33
328	339	32
328	497	593
328	498	385
328	499	234
328	604	20
328	648	31
328	649	205
328	76	79
328	86	21
328	88	29
329	331	535
329	338	3
329	339	31
329	497	506
329	498	863
329	499	175
329	604	3
329	648	19
329	649	152
329	76	79
329	86	13
329	88	15
331	338	41
331	339	233
331	497	302
331	498	623
331	499	117
331	604	18
331	648	34
331	649	372
331	76	120
331	86	106
331	88	123
338	339	235
338	497	6
338	498	5
338	499	1
338	604	297
338	648	287
338	649	217
338	76	21
338	86	146
338	88	113
339	497	18
339	498	20
339	499	6
339	604	54
339	648	38
339	649	70
339	76	22
339	86	18
339	88	16
497	498	1181
497	499	517
497	604	5
497	648	34
497	649	140
497	76	45
497	86	26
497	88	62
498	499	368
498	604	6
498	648	27
498	649	113
498	76	50
498	86	24
498	88	42
499	604	2
499	648	20
499	649	49
499	76	97
499	86	5
499	88	11
604	648	1147
604	649	471
604	76	10
604	86	139
604	88	188
648	649	719
648	76	31
648	86	177
648	88	242
649	76	85
649	86	250
649	88	640
76	86	98
76	88	100
86	88	538
